x	y	label	showSelected1
-2.5	5	1 station	132
-2.5	5	2 stations	147
-2.5	5	1 station	159
-2.5	5	1 station	161
-2.5	5	1 station	186
-2.5	5	1 station	188
-2.5	5	1 station	189
-2.5	5	1 station	197
-2.5	5	1 station	213
-2.5	5	1 station	218
-2.5	5	1 station	248
-2.5	5	1 station	250
-2.5	5	1 station	253
-2.5	5	1 station	280
-2.5	5	1 station	293
-2.5	5	1 station	296
-2.5	5	1 station	297
-2.5	5	1 station	302
-2.5	5	1 station	304
-2.5	5	1 station	305
-2.5	5	1 station	306
-2.5	5	1 station	309
-2.5	5	1 station	312
-2.5	5	1 station	315
-2.5	5	1 station	317
-2.5	5	1 station	336
-2.5	5	1 station	337
-2.5	5	3 stations	338
-2.5	5	1 station	405
-2.5	5	1 station	406
-2.5	5	9 stations	408
-2.5	5	3 stations	409
-2.5	5	1 station	507
-2.5	5	1 station	509
-2.5	5	1 station	526
-2.5	5	1 station	548
-2.5	5	3 stations	552
-2.5	5	1 station	553
-2.5	5	7 stations	554
-2.5	5	4 stations	555
-2.5	5	2 stations	556
-2.5	5	2 stations	578
-2.5	5	2 stations	579
-2.5	5	1 station	598
-2.5	5	1 station	602
-2.5	5	1 station	605
-2.5	5	5 stations	626
-2.5	5	2 stations	627
-2.5	5	2 stations	628
-2.5	5	4 stations	650
-2.5	5	21 stations	655
-2.5	5	1 station	686
-2.5	5	1 station	696
-2.5	5	3 stations	697
-2.5	5	3 stations	698
-2.5	5	9 stations	699
-2.5	5	1 station	720
-2.5	5	2 stations	721
-2.5	5	6 stations	722
-2.5	5	4 stations	726
-2.5	5	26 stations	727
-2.5	5	27 stations	728
-2.5	5	10 stations	729
-2.5	5	1 station	741
-2.5	5	1 station	759
-2.5	5	1 station	767
-2.5	5	10 stations	768
-2.5	5	13 stations	769
-2.5	5	6 stations	770
-2.5	5	13 stations	771
-2.5	5	1 station	797
-2.5	5	25 stations	798
-2.5	5	30 stations	799
-2.5	5	10 stations	800
-2.5	5	25 stations	801
-2.5	5	6 stations	802
-2.5	5	3 stations	803
-2.5	5	6 stations	804
-2.5	5	29 stations	805
-2.5	5	3 stations	822
-2.5	5	7 stations	823
