group	x	y	clickSelects
748	-1199188800	-13.5	297520
748	-1196510400	-8.9	297520
748	-1194004800	-10.7	297520
748	-1191326400	-1.4	297520
748	-1188734400	0.7	297520
748	-1186056000	8.6	297520
753	-473342400	-17.1	298490
753	-470664000	-15.6	298490
753	-468244800	-10.7	298490
753	-465566400	0.1	298490
753	-462974400	12.1	298490
753	-460296000	16.6	298490
753	-457704000	17.9	298490
753	-455025600	17.6	298490
753	-452347200	8.2	298490
753	-449755200	1.3	298490
753	-447076800	-5.4	298490
753	-444484800	-14.3	298490
753	-441806400	-21.8	298490
753	-439128000	-18.1	298490
753	-436622400	-10.5	298490
753	-433944000	2.5	298490
753	-431352000	11.9	298490
753	-428673600	13.1	298490
753	-426081600	19.2	298490
753	-423403200	16.1	298490
753	-420724800	8.8	298490
753	-418132800	4.5	298490
753	-415454400	-8	298490
753	-412862400	-15.2	298490
753	-410184000	-17.4	298490
753	-407505600	-15.5	298490
753	-405086400	-10.4	298490
753	-402408000	0.4	298490
753	-399816000	9.1	298490
753	-397137600	17.1	298490
753	-394545600	17.1	298490
753	-391867200	15.1	298490
753	-389188800	9.7	298490
753	-386596800	2.3	298490
753	-383918400	-7.5	298490
753	-381326400	-9	298490
753	-378648000	-19.6	298490
753	-375969600	-10	298490
753	-373550400	-11.2	298490
753	-370872000	-0.8	298490
753	-368280000	8.7	298490
753	-365601600	12.5	298490
753	-363009600	18.1	298490
753	-360331200	16.3	298490
753	-357652800	8.9	298490
753	-355060800	2.8	298490
753	-352382400	-4.6	298490
753	-349790400	-13	298490
753	-347112000	-17.5	298490
753	-344433600	-12.5	298490
753	-342014400	-5.6	298490
753	-339336000	2.7	298490
753	-336744000	9.4	298490
753	-334065600	16.7	298490
753	-331473600	18.4	298490
753	-328795200	15.7	298490
753	-326116800	11.7	298490
753	-323524800	2.5	298490
753	-320846400	-14	298490
753	-318254400	-19.4	298490
753	-315576000	-18	298490
753	-312897600	-12.2	298490
753	-310392000	-12.4	298490
753	-307713600	0.1	298490
753	-305121600	8.7	298490
753	-302443200	15.2	298490
753	-299851200	17	298490
753	-297172800	14.5	298490
753	-294494400	9.1	298490
753	-291902400	0.4	298490
753	-289224000	-11.8	298490
753	-286632000	-16.5	298490
753	-283953600	-13.3	298490
753	-281275200	-11.7	298490
753	-278856000	-6.2	298490
753	-276177600	5.1	298490
753	-273585600	10.3	298490
753	-270907200	13.9	298490
753	-268315200	18.6	298490
753	-265636800	15.4	298490
753	-262958400	10	298490
753	-260366400	-2	298490
753	-257688000	-7.1	298490
753	-255096000	-14	298490
753	-252417600	-15.5	298490
753	-249739200	-12.2	298490
753	-247320000	-4.6	298490
753	-244641600	3	298490
753	-242049600	13	298490
753	-239371200	17.4	298490
753	-236779200	19.5	298490
753	-234100800	16.8	298490
753	-231422400	10.9	298490
753	-228830400	1.8	298490
753	-226152000	-11.2	298490
753	-223560000	-12.6	298490
753	-220881600	-14.6	298490
753	-218203200	-8.9	298490
753	-215784000	-2.9	298490
753	-213105600	-1.8	298490
753	-210513600	9.4	298490
753	-207835200	15.6	298490
753	-205243200	18.1	298490
753	-202564800	16	298490
753	-199886400	7.9	298490
753	-197294400	3	298490
753	-194616000	-2.5	298490
753	-192024000	-10.7	298490
753	-189345600	-11.6	298490
753	-186667200	-20	298490
753	-184161600	-9.6	298490
753	-181483200	-3.5	298490
753	-178891200	10.6	298490
753	-176212800	16.3	298490
753	-173620800	19.3	298490
753	-170942400	17	298490
753	-168264000	10.1	298490
753	-165672000	-0.2	298490
753	-162993600	-3	298490
753	-160401600	-9.8	298490
753	-157723200	-15.2	298490
753	-155044800	-14.3	298490
753	-152625600	-6.2	298490
753	-149947200	0.6	298490
753	-147355200	13.2	298490
753	-144676800	17.6	298490
753	-142084800	20.3	298490
753	-139406400	16.3	298490
753	-136728000	10.4	298490
753	-134136000	3.1	298490
753	-131457600	-10.2	298490
753	-128865600	-18.2	298490
753	-126187200	-19.4	298490
753	-123508800	-15.2	298490
753	-121089600	-7.8	298490
753	-118411200	-1.2	298490
753	-115819200	8.3	298490
753	-113140800	16.8	298490
753	-110548800	18	298490
753	-107870400	16.1	298490
753	-105192000	13.9	298490
753	-102600000	2.6	298490
753	-99921600	-9.8	298490
753	-97329600	-26.6	298490
753	-94651200	-20.3	298490
753	-91972800	-14.8	298490
753	-89553600	-6.5	298490
753	-86875200	3.5	298490
753	-84283200	12.1	298490
753	-81604800	14.6	298490
753	-79012800	18.7	298490
753	-76334400	13.4	298490
753	-73656000	7.6	298490
753	-71064000	4.5	298490
753	-68385600	-12.5	298490
753	-65793600	-13.4	298490
753	-63115200	-17.4	298490
753	-60436800	-14.6	298490
753	-57931200	-2.4	298490
753	-55252800	2.6	298490
753	-52660800	11.1	298490
753	-49982400	14.8	298490
753	-47390400	19	298490
753	-44712000	16	298490
753	-42033600	6.3	298490
753	-39441600	1.4	298490
753	-36763200	-11	298490
753	-34171200	-18.6	298490
753	-31492800	-29	298490
753	-28814400	-25	298490
753	-26395200	-11.6	298490
754	-725803200	-23.1	298580
754	-723124800	-17.6	298580
754	-720705600	-9.4	298580
754	-718027200	2.8	298580
754	-715435200	9.6	298580
754	-712756800	14.3	298580
754	-710164800	15.8	298580
754	-707486400	13.8	298580
754	-704808000	7.4	298580
754	-702216000	0.6	298580
754	-699537600	-8.9	298580
754	-696945600	-23	298580
754	-694267200	-15	298580
754	-691588800	-19.1	298580
754	-689083200	-8.1	298580
754	-686404800	1.5	298580
754	-683812800	5.7	298580
754	-681134400	12.7	298580
754	-678542400	17.7	298580
754	-675864000	13.1	298580
754	-673185600	7.9	298580
754	-670593600	0.8	298580
754	-667915200	-14.3	298580
754	-665323200	-16.1	298580
754	-662644800	-15.5	298580
754	-659966400	-13.4	298580
754	-657547200	-11.1	298580
754	-654868800	2.7	298580
754	-652276800	7.1	298580
754	-649598400	13	298580
754	-647006400	15.9	298580
754	-644328000	14.2	298580
754	-641649600	6	298580
754	-639057600	1.2	298580
754	-636379200	-11.5	298580
754	-633787200	-23.8	298580
754	-631108800	-19.2	298580
754	-628430400	-19.4	298580
754	-626011200	-7.9	298580
754	-623332800	-3.3	298580
754	-620740800	7.5	298580
754	-618062400	15.7	298580
754	-615470400	18.4	298580
754	-612792000	14.7	298580
754	-610113600	8.8	298580
754	-607521600	-0.7	298580
754	-604843200	-19.3	298580
754	-602251200	-17.1	298580
754	-599572800	-23.3	298580
754	-596894400	-23.2	298580
754	-594475200	-8.8	298580
754	-591796800	1	298580
754	-589204800	10.2	298580
754	-586526400	15.4	298580
754	-583934400	17.5	298580
754	-581256000	11.2	298580
754	-578577600	8.4	298580
754	-575985600	-0.4	298580
754	-573307200	-9.6	298580
754	-570715200	-10.3	298580
754	-568036800	-16.8	298580
754	-565358400	-19.4	298580
754	-562852800	-9.8	298580
754	-560174400	-1.9	298580
754	-557582400	8.1	298580
754	-554904000	15.3	298580
754	-552312000	16.5	298580
754	-549633600	14.5	298580
754	-546955200	9.2	298580
754	-544363200	-1.6	298580
754	-541684800	-16.9	298580
754	-539092800	-16	298580
754	-536414400	-17.4	298580
754	-533736000	-15.4	298580
754	-531316800	-5.6	298580
754	-528638400	1.1	298580
754	-526046400	9.5	298580
754	-523368000	15.9	298580
754	-520776000	18.9	298580
754	-518097600	12.7	298580
754	-515419200	9.6	298580
754	-512827200	-0.2	298580
754	-510148800	-13.2	298580
754	-507556800	-15	298580
754	-504878400	-21.5	298580
754	-502200000	-19.6	298580
754	-499780800	-10.9	298580
754	-497102400	-2.1	298580
754	-494510400	4	298580
754	-491832000	14.6	298580
754	-489240000	14.5	298580
754	-486561600	15.8	298580
754	-483883200	8.8	298580
754	-481291200	1.2	298580
754	-478612800	-10.6	298580
754	-476020800	-27.1	298580
754	-473342400	-21.1	298580
754	-470664000	-16	298580
754	-468244800	-11.1	298580
754	-465566400	-1.3	298580
754	-462974400	8.7	298580
754	-460296000	15.3	298580
754	-457704000	16.1	298580
754	-455025600	15.5	298580
754	-452347200	6.7	298580
754	-449755200	-1.2	298580
